Designator,Mid X,Mid Y,Rotation,Layer
SW79,687.2141503460823,-180.7786555951647,15.0,top
SW8,655.6123833460823,-117.89083559516472,15.0,top
SW80,705.6150393460823,-175.84815259516472,15.0,top
SW81,724.0159253460823,-170.9176495951647,15.0,top
SW82,742.4168123460823,-165.98714559516472,15.0,top
SW83,760.8176993460823,-161.0566425951647,15.0,top
SW84_ENTER1,780.4226585463895,-148.10623124093345,15.0,top
SW85_1.25,440.53125,-226.51,0.0,top
SW86,461.9625,-226.51,0.0,top
SW87,481.0125,-226.51,0.0,top
SW88,500.0625,-226.51,0.0,top
SW89,519.1125,-226.51,0.0,top
SW9,674.0132703460823,-112.96033159516472,15.0,top
SW90,538.1625,-226.51,0.0,top
SW91,646.1424373460824,-211.50579859516472,15.0,top
SW92,664.5433243460824,-206.57529659516473,15.0,top
SW93,682.9442123460823,-201.64479259516472,15.0,top
SW94,701.3450973460823,-196.71429159516472,15.0,top
SW95,719.7459853460823,-191.7837865951647,15.0,top
SW96,738.1468723460823,-186.85328559516472,15.0,top
SW97_2.75,773.4114054815219,-180.45565796815174,15.0,top
SW98_1.5,442.9125,-245.56,0.0,top
SW99_1.25,469.10625,-245.56,0.0,top
SWVOL1,438.04375,-139.065,0.0,top
